Name;KG DIN 276;Fläche;Bezugsgröße;eLCA BT ID
AW Mauerwerk KfW 55 Sanierung;330;197.0;m²;2402093
2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard Sanierung;334;14;Stück;2732188
Gründach extensiv Stb. KfW 55 Sanierung;360;88.46;m²;2402158
