Name;KG DIN 276;Fläche;Bezugsgröße;eLCA BT ID
AW Mauerwerk KfW 55;330;197.0;m²;2402097
2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard;334;14;Stück;2402187
Gründach extensiv Stb. KfW 55;360;88.46;m²;2402162
