Name;KG DIN 276;Fläche;Bezugsgröße;eLCA BT ID
Außenwand Holzrahmenbau Holzverkleidung KfW 55;330;198.9;m²;2731920
2 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard;334;11;Stück;2402187
Gründach belüftet Holzrahmenbau KfW 55 Sanierung;360;90.16;m²;2402132
