Name;KG DIN 276;Fläche;Bezugsgröße;eLCA BT ID
Außenwand Holzrahmenbau Holzverkleidung KfW 55 Sanierung;330;175.3;m²;2731916
1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard;334;14;Stück;2732187
Gründach extensiv Stb. KfW 55;360;90.16;m²;2402162
