Name;KG DIN 276;Fläche;Bezugsgröße;eLCA BT ID
Außenwand Holzrahmenbau Holzverkleidung KfW 55;330;175.3;m²;2731920
1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard;334;14;Stück;2732187
Gründach extensiv Stb. KfW 55 Sanierung;360;90.16;m²;2402158
