Name;KG DIN 276;Fläche;Bezugsgröße;eLCA BT ID
AW Mauerwerk KfW 55;330;238.7;m²;2402097
1,88 m² Fenster dreifachverglast Aluminiumrahmen KfW 55 Standard;334;22;Stück;2732187
Gründach belüftet Holzrahmenbau KfW 55;360;67.64;m²;2402136
