Material,Sanierungskosten Worst Case,Sanierungskosten Base Case,Sanierungskosten Best Case
Kunststoff,682,568,454
PVC,682,568,454
Holz,896,747,598
Aluminium-Holz,1043,869,695
Aluminium,1294,1078,862
unbekannt,852,710,568
Alu,1294,1078,862
Holz-Aluminium,1043,869,695
Holz-Alu,1043,869,695
